               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1029,            0.030425,             0.05174,            0.038377,             0.23042,            0.056808,            0.020991,            0.067922,            0.017356,            0.035339,              0.0865,              0.0015,              0.0015
                   1,            0.077018,            0.022624,            0.044066,             0.45817,             0.32542,             0.10487,            0.036283,            0.064916,            0.012051,            0.033719,             0.07209,           0.0030898,           0.0030898
                   2,            0.066486,            0.018326,            0.040166,             0.28507,               0.555,             0.13397,            0.058146,            0.060183,           0.0082764,            0.030814,            0.057669,            0.004669,            0.004669
                   3,            0.067672,            0.016274,            0.036595,             0.72658,             0.19542,             0.17367,            0.074702,            0.063158,           0.0074002,            0.029778,            0.043238,           0.0062376,           0.0062376
                   4,            0.062367,            0.016468,            0.038507,             0.39711,             0.49667,             0.25037,             0.13458,            0.055513,            0.007366,            0.029355,            0.028796,           0.0077957,           0.0077957
                   5,            0.056816,            0.014976,            0.036869,             0.40476,             0.36936,             0.24319,             0.14537,            0.051403,           0.0066249,            0.028739,            0.014343,           0.0093433,           0.0093433
                   6,            0.055187,            0.013992,            0.035857,             0.36287,             0.43333,             0.24122,             0.13704,            0.063835,           0.0063852,             0.02928,            0.009802,            0.009802,            0.009802
                   7,            0.050606,            0.014727,            0.036896,             0.67231,             0.27542,             0.27549,             0.17112,            0.043185,           0.0061956,            0.030007,            0.009802,            0.009802,            0.009802
                   8,            0.047932,            0.013667,             0.03577,             0.41198,             0.43375,             0.27624,             0.14957,            0.046788,           0.0070089,            0.028296,            0.009769,            0.009769,            0.009769
                   9,            0.045669,             0.01313,             0.03417,             0.35641,             0.37375,             0.22776,             0.10967,            0.047637,           0.0079076,            0.028857,            0.009736,            0.009736,            0.009736
                  10,             0.04497,             0.01399,            0.034227,             0.38359,             0.30375,             0.24166,             0.14457,            0.043974,           0.0068281,            0.030642,            0.009703,            0.009703,            0.009703
                  11,            0.043272,            0.012774,             0.03457,             0.52861,             0.44215,             0.40819,             0.26119,            0.043799,           0.0054552,              0.0314,             0.00967,             0.00967,             0.00967
